goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,league
0,2,0,0,0.0,2,100.0,0,0.0,0,0,69.13,2,100.0,315,1,0,0,4,15,8,7,2,0,3,2,3,2,4,0,103,0,0,0.0,31,40.26,0,5,0,0,0,0,0,0.0,0,0,,0,0,0,Lionel M'Pasi,Le Havre,599192,1662,France Ligue 1
1,2,0,51,58.62,3,60.0,12,75.0,20,7,93.91,54,58.7,1856,19,13,9,24,0,0,0,12,5,0,0,0,0,579,8,2283,33,6,30.0,154,76.24,24,22,13,0,31,10,9,3.23,0,0,0.97,0,1,0,Vitinha,Paris Saint-Germain,902029,1644,France Ligue 1
1,0,0,10,62.5,0,0.0,5,55.56,1,2,88.1,10,62.5,105,4,0,1,3,0,0,0,2,0,0,0,0,0,16,2,37,3,2,28.57,2,66.67,1,1,1,0,2,1,1,50.0,0,0,0.15,0,0,0,Dilane Bakwa,RC Strasbourg,963298,1659,France Ligue 1
8,0,0,24,48.98,2,33.33,17,58.62,5,4,83.49,26,47.27,718,2,2,10,15,0,0,0,4,3,0,0,0,0,263,6,450,32,9,21.95,22,75.86,0,0,1,3,30,13,3,26.67,0,4,4.74,0,1,0,Ousmane Dembélé,Paris Saint-Germain,818244,1644,France Ligue 1
8,5,0,114,54.29,2,15.38,29,46.03,31,4,86.45,116,52.02,1966,55,12,38,23,0,0,0,34,3,0,0,0,0,343,6,1085,46,18,19.35,67,71.28,7,6,13,3,45,18,9,17.78,0,3,5.63,0,0,0,Ilan Kebbal,Paris FC,1049442,6070,France Ligue 1
14,2,0,66,43.14,2,28.57,38,49.35,9,4,81.88,68,42.5,1830,19,16,17,23,0,0,0,28,0,0,0,0,0,334,9,800,43,22,26.19,63,67.02,3,2,16,4,86,36,24,16.28,3,0,11.96,0,0,2,Mason Greenwood,Olympique de Marseille,942116,1641,France Ligue 1
0,0,0,0,0.0,0,0.0,0,0.0,0,0,70.91,0,0.0,360,0,0,0,4,10,6,4,3,0,2,1,2,2,1,0,78,0,0,0.0,11,28.21,0,3,1,0,0,0,0,0.0,0,0,,0,0,0,Rémy Descamps,Olympique Lyonnais,788180,1649,France Ligue 1
3,5,0,82,47.4,3,75.0,20,44.44,32,3,78.77,85,48.02,1681,30,23,29,19,0,0,0,20,2,0,0,0,0,196,6,527,43,36,31.86,60,73.17,20,11,17,1,28,11,7,10.71,3,0,4.22,0,1,0,Aron Dønnum,Toulouse,863133,1681,France Ligue 1
10,2,0,61,41.5,6,46.15,29,41.43,24,1,84.16,67,41.88,1328,8,16,18,22,0,0,0,10,1,0,0,0,0,247,9,457,32,4,21.05,11,91.67,11,6,11,13,56,26,12,17.86,1,4,9.05,0,0,0,Bradley Barcola,Paris Saint-Germain,996952,1644,France Ligue 1
0,0,0,5,83.33,6,100.0,1,100.0,0,0,54.16,11,91.67,1291,6,0,0,15,49,31,18,16,3,8,3,5,4,26,0,241,0,0,0.0,110,35.26,0,12,1,0,0,0,0,0.0,0,0,,0,0,0,Grégoire Coudert,Stade Brestois,891508,1715,France Ligue 1
0,1,0,7,87.5,7,87.5,0,0.0,1,0,69.71,14,87.5,1890,7,1,0,21,79,55,23,23,1,28,8,8,8,8,0,435,0,0,0.0,93,33.94,0,22,0,0,0,0,0,0.0,0,0,,1,3,0,Hervé Koffi,Angers,867299,1684,France Ligue 1
1,1,0,14,43.75,23,56.1,0,0.0,12,0,94.64,37,50.68,826,2,12,0,11,0,0,0,6,2,0,0,0,0,83,0,795,1,0,0.0,28,66.67,10,47,7,0,3,1,0,33.33,0,0,0.44,0,0,0,Lucas Beraldo,Paris Saint-Germain,1108441,1644,France Ligue 1
5,0,0,37,54.41,12,60.0,7,63.64,23,1,92.03,49,55.68,1004,8,12,4,14,0,0,0,7,4,0,0,0,0,194,3,716,10,2,100.0,26,72.22,5,2,12,1,21,6,5,23.81,0,0,2.38,0,1,0,João Neves,Paris Saint-Germain,1190933,1644,France Ligue 1
