goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,league
1,5,0,107,62.94,27,64.29,5,45.45,70,1,88.97,134,63.21,2014,34,31,12,25,0,0,0,17,5,0,0,0,0,484,3,1685,30,3,30.0,126,59.72,29,50,18,0,26,8,8,3.85,1,0,1.19,2,3,0,Manuel Locatelli,Juventus,363860,2687,Italy Serie A
0,1,0,0,0.0,2,100.0,0,0.0,0,0,47.73,2,100.0,90,0,0,0,1,4,3,1,0,0,2,0,1,0,1,0,21,0,0,0.0,7,23.33,0,1,0,0,0,0,0,0.0,0,0,,0,0,0,Filippo Rinaldi,Parma,1002428,2690,Italy Serie A
2,3,0,80,57.14,9,47.37,13,46.43,42,3,90.73,89,55.97,2191,25,16,10,26,0,0,0,18,1,0,0,0,0,425,6,1546,47,26,28.57,128,72.32,36,27,21,0,13,7,4,15.38,1,0,1.26,0,3,2,Luka Modrić,Milan,15466,2692,Italy Serie A
6,2,0,64,55.17,2,16.67,5,45.45,43,14,82.5,66,51.56,1987,16,29,8,25,0,0,0,13,2,0,0,0,0,369,28,853,74,76,33.93,29,38.16,20,19,11,7,49,18,14,12.24,2,4,3.84,0,0,0,Federico Dimarco,Inter,284361,2697,Italy Serie A
8,6,0,39,48.75,9,56.25,4,33.33,24,2,90.51,48,50.0,1338,11,21,4,18,0,0,0,10,2,0,0,0,0,309,6,1039,36,27,36.49,57,58.76,10,13,11,1,45,15,13,17.78,1,0,5.53,0,0,0,Hakan Çalhanoğlu,Inter,135700,2697,Italy Serie A
2,0,0,21,58.33,0,0.0,9,60.0,10,0,82.22,21,58.33,257,2,0,8,4,0,0,0,4,0,0,0,0,0,31,0,74,3,0,0.0,0,0.0,0,0,1,0,9,7,1,22.22,0,1,0.46,0,0,0,Alisson Santos,Napoli,1122835,2714,Italy Serie A
0,0,0,2,66.67,0,0.0,0,0.0,2,0,95.24,2,50.0,90,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,80,1,0,0.0,3,60.0,2,2,0,0,1,1,0,0.0,0,0,0.05,0,1,0,Benjamin Pavard,Inter,787505,2697,Italy Serie A
0,0,0,4,80.0,12,100.0,1,100.0,0,0,67.35,16,94.12,2430,5,1,0,27,86,60,25,19,5,14,17,13,18,30,0,561,0,0,0.0,188,41.32,0,27,0,0,0,0,0,0.0,0,0,,0,0,0,Marco Carnesecchi,Atalanta,865646,2686,Italy Serie A
1,5,0,64,58.72,48,63.16,5,55.56,41,4,86.96,112,60.54,1948,18,36,1,23,0,0,0,13,4,0,0,0,0,314,7,1367,23,20,27.78,106,54.08,21,74,5,3,16,7,3,6.25,2,0,1.33,0,0,0,Alessandro Bastoni,Inter,826188,2697,Italy Serie A
8,2,0,116,48.33,12,50.0,58,52.25,13,4,84.93,128,48.48,2140,45,18,44,26,0,0,0,19,3,0,0,0,0,363,10,778,54,24,25.0,28,66.67,7,6,11,3,76,32,26,10.53,5,5,7.06,0,3,0,Kenan Yıldız,Juventus,1149011,2687,Italy Serie A
