teamName,teamId,goalsScored,goalsConceded,ownGoals,assists,shots,penaltyGoals,penaltiesTaken,freeKickGoals,freeKickShots,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,bigChances,bigChancesCreated,bigChancesMissed,shotsOnTarget,shotsOffTarget,blockedScoringAttempt,successfulDribbles,dribbleAttempts,corners,hitWoodwork,fastBreaks,fastBreakGoals,fastBreakShots,averageBallPossession,totalPasses,accuratePasses,accuratePassesPercentage,totalOwnHalfPasses,accurateOwnHalfPasses,accurateOwnHalfPassesPercentage,totalOppositionHalfPasses,accurateOppositionHalfPasses,accurateOppositionHalfPassesPercentage,totalLongBalls,accurateLongBalls,accurateLongBallsPercentage,totalCrosses,accurateCrosses,accurateCrossesPercentage,cleanSheets,tackles,interceptions,saves,errorsLeadingToGoal,errorsLeadingToShot,penaltiesCommited,penaltyGoalsConceded,clearances,clearancesOffLine,lastManTackles,totalDuels,duelsWon,duelsWonPercentage,totalGroundDuels,groundDuelsWon,groundDuelsWonPercentage,totalAerialDuels,aerialDuelsWon,aerialDuelsWonPercentage,possessionLost,offsides,fouls,yellowCards,yellowRedCards,redCards,avgRating,accurateFinalThirdPassesAgainst,accurateOppositionHalfPassesAgainst,accurateOwnHalfPassesAgainst,accuratePassesAgainst,bigChancesAgainst,bigChancesCreatedAgainst,bigChancesMissedAgainst,clearancesAgainst,cornersAgainst,crossesSuccessfulAgainst,crossesTotalAgainst,dribbleAttemptsTotalAgainst,dribbleAttemptsWonAgainst,errorsLeadingToGoalAgainst,errorsLeadingToShotAgainst,hitWoodworkAgainst,interceptionsAgainst,keyPassesAgainst,longBallsSuccessfulAgainst,longBallsTotalAgainst,offsidesAgainst,redCardsAgainst,shotsAgainst,shotsBlockedAgainst,shotsFromInsideTheBoxAgainst,shotsFromOutsideTheBoxAgainst,shotsOffTargetAgainst,shotsOnTargetAgainst,blockedScoringAttemptAgainst,tacklesAgainst,totalFinalThirdPassesAgainst,oppositionHalfPassesTotalAgainst,ownHalfPassesTotalAgainst,totalPassesAgainst,yellowCardsAgainst,throwIns,goalKicks,ballRecovery,freeKicks,id,matches,awardedMatches,statisticsType,league
Parma,2690,20,32,0,10,317,2,2,0,13,15,3,175,142,7,6,5,47,34,33,80,128,109,134,303,109,10,14,0,14,44.703703703704,9828,7880,80.17908017908,4741,4243,89.495886943683,5087,3637,71.495970119914,872,393,45.06880733945,500,104,20.8,9,380,201,83,4,8,5,4,664,3,6,2548,1269,49.803767660911,1716,854,49.7668997669,832,415,49.879807692308,3358,31,291,48,3,4,6.7605,2909,5928,4513,10441,64,48,43,743,121,169,616,434,213,2,13,11,192,299,557,1247,57,8,393,113,252,141,162,118,113,397,3794,7317,5038,12355,52,489,236,1155,353,49360,27,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",Italy Serie A
Atalanta,2686,37,24,1,25,402,3,3,0,7,33,4,266,136,5,12,19,65,49,46,129,149,124,221,436,156,11,37,2,35,54.962962962963,13077,11127,85.088323009865,5890,5357,90.950764006791,7187,5770,80.283845832754,917,524,57.142857142857,530,132,24.905660377358,10,418,196,86,3,8,3,1,613,1,4,2553,1274,49.902075989033,1770,890,50.282485875706,783,384,49.04214559387,3344,51,314,42,1,2,6.9047619047619,1979,4188,4638,8826,63,47,49,675,122,121,447,375,161,7,14,7,229,234,634,1420,42,2,317,83,203,114,125,109,83,438,2957,5729,5097,10826,37,480,180,1326,263,49357,27,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",Italy Serie A
Como,2704,46,21,0,35,392,3,6,1,11,35,10,252,140,7,20,18,76,55,47,141,160,91,206,435,113,6,37,6,31,61.178571428571,14911,12985,87.08336127691,7558,7050,93.278645144218,7353,5935,80.715354277166,759,364,47.957839262187,427,120,28.103044496487,13,456,198,73,5,9,4,3,582,4,1,2713,1360,50.1290084777,2032,976,48.031496062992,681,384,56.387665198238,3274,26,392,60,1,3,6.9124711316397,1372,2931,4414,7345,56,43,43,558,93,90,363,413,215,9,11,3,274,187,566,1344,76,2,263,69,171,92,98,96,69,480,2265,4336,4956,9292,60,528,151,1315,322,49329,28,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",Italy Serie A
Roma,2702,37,19,0,25,371,3,4,0,12,35,2,268,103,5,11,21,60,43,36,129,141,101,159,409,136,5,25,2,24,56.851851851852,13195,11045,83.705949223191,5610,5101,90.926916221034,7585,5944,78.365194462755,1031,506,49.078564500485,516,111,21.511627906977,12,429,246,78,1,10,0,0,554,1,6,2828,1378,48.727015558699,1992,945,47.439759036145,836,433,51.794258373206,3650,41,388,49,0,1,6.8735436893204,1510,3129,4737,7866,50,39,38,689,80,65,313,378,179,6,13,11,241,190,559,1455,44,2,256,57,148,108,104,96,56,504,2472,4738,5399,10137,61,545,164,1366,370,49107,27,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",Italy Serie A
Cagliari,2719,30,38,0,26,279,1,1,0,12,27,3,168,111,8,6,16,45,39,24,94,114,71,177,357,96,7,29,4,26,45.535714285714,10996,8912,81.047653692252,6307,5663,89.789123196448,4689,3249,69.289827255278,911,417,45.773874862788,383,98,25.587467362924,6,448,244,95,6,17,1,1,746,2,2,2721,1353,49.724366041896,1992,1015,50.953815261044,729,338,46.36488340192,3359,47,423,66,1,1,6.7551162790698,2619,5769,5374,11143,68,53,44,544,154,131,528,423,189,2,7,10,215,286,632,1311,31,3,372,107,250,122,131,134,107,395,3751,7433,5748,13181,49,489,254,1196,400,49333,28,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",Italy Serie A
Lecce,2689,18,36,1,12,266,0,1,2,18,13,5,145,121,5,4,9,30,23,20,65,108,93,148,386,122,7,16,0,16,42.777777777778,9065,6860,75.675675675676,3827,3353,87.614319310165,5238,3507,66.953035509737,966,420,43.478260869565,457,112,24.507658643326,8,494,173,77,4,20,6,4,785,3,4,2929,1430,48.82212359167,1987,974,49.018621036739,942,456,48.407643312102,3677,29,337,47,0,2,6.704578313253,2181,4539,5796,10335,73,49,48,613,144,119,510,470,213,4,7,11,199,256,578,1351,56,0,354,100,250,104,139,115,100,489,3198,6146,6370,12516,43,562,252,1207,348,49072,27,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",Italy Serie A
Hellas Verona,2701,20,48,3,12,289,3,3,0,9,15,4,169,120,1,5,13,35,24,25,101,108,80,155,326,100,8,40,6,34,40.555555555556,9112,6829,74.945127304653,3865,3382,87.503234152652,5247,3447,65.694682675815,891,337,37.822671156004,391,86,21.994884910486,5,486,273,74,7,4,4,2,757,4,4,2835,1346,47.477954144621,1780,862,48.426966292135,1055,484,45.876777251185,3611,47,421,59,2,3,6.6167464114833,2241,5412,5921,11333,63,42,31,695,138,113,515,397,170,4,11,9,199,255,662,1414,41,0,362,112,209,153,131,120,111,366,3232,7018,6542,13560,45,503,201,1250,231,49428,27,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",Italy Serie A
Sassuolo,2793,34,36,2,25,289,2,4,1,13,30,3,189,100,4,12,16,56,41,33,103,114,72,143,341,102,7,34,6,29,44.555555555556,10411,8543,82.05743924695,5217,4732,90.703469426874,5194,3811,73.373122834039,835,396,47.425149700599,333,98,29.429429429429,6,366,223,100,4,16,4,4,714,6,2,2461,1187,48.232425843153,1730,845,48.843930635838,731,342,46.785225718194,3139,53,324,58,1,3,6.7650602409639,2835,5767,5285,11052,68,51,43,507,131,125,559,340,150,4,15,8,181,299,600,1286,41,1,390,94,251,139,156,140,94,433,3797,7259,5742,13001,50,425,216,1239,348,49069,27,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",Italy Serie A
Genoa,2713,32,39,2,16,312,3,6,2,13,26,6,200,112,3,17,11,55,36,33,109,123,80,167,382,96,5,8,0,8,47.62962962963,10304,8290,80.454192546584,5384,4825,89.617384843982,4920,3465,70.426829268293,902,395,43.791574279379,469,124,26.439232409382,6,459,192,83,7,6,6,6,731,2,3,2909,1458,50.120316259883,1916,990,51.670146137787,993,468,47.129909365559,3493,38,362,51,1,2,6.7627118644068,2332,4635,4602,9237,57,33,31,612,143,141,496,347,135,4,7,11,218,264,624,1413,39,5,362,119,247,115,122,121,119,466,3305,6216,5186,11402,60,518,194,1152,376,49071,27,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",Italy Serie A
Torino,2696,28,49,0,17,324,3,5,0,5,23,4,205,119,7,3,17,53,33,36,118,113,93,160,324,111,4,41,7,35,43.892857142857,10485,8322,79.370529327611,5151,4593,89.167152009319,5334,3729,69.910011248594,1028,508,49.416342412451,486,120,24.691358024691,10,470,238,76,10,11,4,4,715,2,6,2763,1357,49.113282663771,1830,899,49.125683060109,933,458,49.08896034298,3499,49,402,57,0,1,6.7212189616253,2575,5812,5863,11675,66,51,33,685,128,122,475,406,186,3,12,5,194,306,717,1457,36,0,391,111,253,138,154,126,111,378,3609,7456,6389,13845,35,478,239,1224,280,49438,28,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",Italy Serie A
