goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,league
0.0,0.57,0.0,0.0,0.0,0.57,100.0,0.0,0.0,0.0,0.0,69.13,0.57,100.0,90,0.29,0.0,0.0,1.14,4.29,2.29,2.0,0.57,0.0,0.86,0.57,0.86,0.57,1.14,0.0,29.43,0.0,0.0,0.0,8.86,40.26,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Lionel M'Pasi,Le Havre,599192,1662,France Ligue 1
0.05,0.1,0.0,2.47,58.62,0.15,60.0,0.58,75.0,0.97,0.34,93.91,2.62,58.7,90,0.92,0.63,0.44,1.16,0.0,0.0,0.0,0.58,0.24,0.0,0.0,0.0,0.0,28.08,0.39,110.71,1.6,0.29,30.0,7.47,76.24,1.16,1.07,0.63,0.0,1.5,0.48,0.44,3.23,0.0,0.0,0.05,0.0,0.05,0.0,Vitinha,Paris Saint-Germain,902029,1644,France Ligue 1
0.86,0.0,0.0,8.57,62.5,0.0,0.0,4.29,55.56,0.86,1.71,88.1,8.57,62.5,90,3.43,0.0,0.86,2.57,0.0,0.0,0.0,1.71,0.0,0.0,0.0,0.0,0.0,13.71,1.71,31.71,2.57,1.71,28.57,1.71,66.67,0.86,0.86,0.86,0.0,1.71,0.86,0.86,50.0,0.0,0.0,0.13,0.0,0.0,0.0,Dilane Bakwa,RC Strasbourg,963298,1659,France Ligue 1
1.0,0.0,0.0,3.01,48.98,0.25,33.33,2.13,58.62,0.63,0.5,83.49,3.26,47.27,90,0.25,0.25,1.25,1.88,0.0,0.0,0.0,0.5,0.38,0.0,0.0,0.0,0.0,32.97,0.75,56.41,4.01,1.13,21.95,2.76,75.86,0.0,0.0,0.13,0.38,3.76,1.63,0.38,26.67,0.0,0.5,0.59,0.0,0.13,0.0,Ousmane Dembélé,Paris Saint-Germain,818244,1644,France Ligue 1
0.37,0.23,0.0,5.22,54.29,0.09,15.38,1.33,46.03,1.42,0.18,86.45,5.31,52.02,90,2.52,0.55,1.74,1.05,0.0,0.0,0.0,1.56,0.14,0.0,0.0,0.0,0.0,15.7,0.27,49.67,2.11,0.82,19.35,3.07,71.28,0.32,0.27,0.6,0.14,2.06,0.82,0.41,17.78,0.0,0.14,0.26,0.0,0.0,0.0,Ilan Kebbal,Paris FC,1049442,6070,France Ligue 1
0.69,0.1,0.0,3.25,43.14,0.1,28.57,1.87,49.35,0.44,0.2,81.88,3.34,42.5,90,0.93,0.79,0.84,1.13,0.0,0.0,0.0,1.38,0.0,0.0,0.0,0.0,0.0,16.43,0.44,39.34,2.11,1.08,26.19,3.1,67.02,0.15,0.1,0.79,0.2,4.23,1.77,1.18,16.28,0.15,0.0,0.59,0.0,0.0,0.1,Mason Greenwood,Olympique de Marseille,942116,1641,France Ligue 1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.91,0.0,0.0,90,0.0,0.0,0.0,1.0,2.5,1.5,1.0,0.75,0.0,0.5,0.25,0.5,0.5,0.25,0.0,19.5,0.0,0.0,0.0,2.75,28.21,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Rémy Descamps,Olympique Lyonnais,788180,1649,France Ligue 1
0.16,0.27,0.0,4.39,47.4,0.16,75.0,1.07,44.44,1.71,0.16,78.77,4.55,48.02,90,1.61,1.23,1.55,1.02,0.0,0.0,0.0,1.07,0.11,0.0,0.0,0.0,0.0,10.49,0.32,28.22,2.3,1.93,31.86,3.21,73.17,1.07,0.59,0.91,0.05,1.5,0.59,0.37,10.71,0.16,0.0,0.23,0.0,0.05,0.0,Aron Dønnum,Toulouse,863133,1681,France Ligue 1
0.68,0.14,0.0,4.13,41.5,0.41,46.15,1.97,41.43,1.63,0.07,84.16,4.54,41.88,90,0.54,1.08,1.22,1.49,0.0,0.0,0.0,0.68,0.07,0.0,0.0,0.0,0.0,16.74,0.61,30.97,2.17,0.27,21.05,0.75,91.67,0.75,0.41,0.75,0.88,3.8,1.76,0.81,17.86,0.07,0.27,0.61,0.0,0.0,0.0,Bradley Barcola,Paris Saint-Germain,996952,1644,France Ligue 1
0.0,0.0,0.0,0.35,83.33,0.42,100.0,0.07,100.0,0.0,0.0,54.16,0.77,91.67,90,0.42,0.0,0.0,1.05,3.42,2.16,1.25,1.12,0.21,0.56,0.21,0.35,0.28,1.81,0.0,16.8,0.0,0.0,0.0,7.67,35.26,0.0,0.84,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Grégoire Coudert,Stade Brestois,891508,1715,France Ligue 1
