goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,league
1.39,0.05,0.0,3.33,51.06,1.71,62.71,1.16,62.5,0.69,0.23,81.19,5.04,54.5,90,1.48,0.97,1.16,1.11,0.0,0.0,0.0,0.97,0.09,0.0,0.0,0.0,0.0,10.07,0.65,22.73,1.48,0.0,0.0,3.23,75.27,0.32,1.29,0.51,0.65,4.44,2.68,1.02,31.25,0.18,0.88,1.04,0.05,0.0,0.0,Harry Kane,FC Bayern München,108579,2672,Germany Bundesliga
0.0,0.0,0.0,3.82,50.0,8.73,88.89,0.55,100.0,2.73,0.0,83.63,12.55,71.88,90,0.55,2.73,0.0,1.09,0.0,0.0,0.0,1.64,0.0,0.0,0.0,0.0,0.0,8.73,0.0,78.0,0.55,0.0,0.0,2.18,23.53,1.64,8.73,1.09,0.0,2.73,0.55,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,Dan-Axel Zagadou,VfB Stuttgart,826205,2677,Germany Bundesliga
0.5,0.25,0.0,5.48,45.04,0.3,35.29,2.46,44.14,1.01,0.8,85.04,5.78,44.4,90,2.01,1.26,1.26,1.16,0.0,0.0,0.0,0.95,0.1,0.0,0.0,0.0,0.0,27.69,1.11,49.7,3.22,1.21,21.82,1.01,64.52,0.55,0.3,1.16,0.35,3.77,1.91,1.16,13.33,0.2,0.2,0.42,0.0,0.05,0.1,Michael Olise,FC Bayern München,978838,2672,Germany Bundesliga
0.52,0.1,0.0,6.82,51.59,0.21,15.38,4.51,59.31,1.1,0.26,85.36,7.03,48.2,90,1.21,0.63,2.1,1.26,0.0,0.0,0.0,1.26,0.0,0.0,0.0,0.0,0.0,15.42,0.42,34.56,2.05,0.31,20.0,1.1,80.77,0.73,0.42,0.63,0.21,2.2,1.15,0.58,23.81,0.0,0.31,0.29,0.0,0.0,0.0,Yan Diomande,RB Leipzig,2087085,36360,Germany Bundesliga
0.22,0.33,0.0,3.44,62.0,1.78,61.54,0.44,57.14,1.94,0.06,86.62,5.22,61.84,90,1.06,1.11,0.44,1.0,0.0,0.0,0.0,1.06,0.06,0.0,0.0,0.0,0.0,11.83,0.06,59.0,0.39,0.17,13.04,7.33,61.11,0.83,4.78,0.33,0.11,1.44,0.39,0.56,15.38,0.06,0.06,0.15,0.0,0.0,0.0,Nico Schlotterbeck,Borussia Dortmund,940871,2673,Germany Bundesliga
0.11,0.22,0.0,2.42,56.41,0.33,35.29,0.55,76.92,1.1,0.33,91.89,2.75,52.63,90,0.77,0.33,0.5,1.16,0.0,0.0,0.0,0.94,0.06,0.0,0.0,0.0,0.0,28.11,0.72,94.73,2.15,1.27,26.14,6.38,70.73,0.88,0.66,0.88,0.06,1.1,0.44,0.33,10.0,0.11,0.0,0.12,0.0,0.22,0.06,Joshua Kimmich,FC Bayern München,259117,2672,Germany Bundesliga
0.0,0.0,0.0,0.5,100.0,1.0,100.0,0.5,100.0,0.0,0.0,75.45,1.5,100.0,90,0.0,0.0,0.0,1.0,5.5,3.5,2.0,2.0,0.0,0.5,1.5,1.0,1.5,0.5,0.0,41.5,0.0,0.0,0.0,9.0,40.91,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Karl Hein,SV Werder Bremen,991591,2534,Germany Bundesliga
0.0,0.0,0.0,0.54,100.0,0.0,0.0,0.27,100.0,0.0,0.0,75.94,0.54,100.0,90,0.27,0.0,0.0,1.09,2.99,2.18,0.82,1.63,0.0,0.54,0.27,0.0,0.27,1.36,0.0,27.46,0.0,0.0,0.0,5.71,40.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Maarten Vandevoordt,RB Leipzig,934385,36360,Germany Bundesliga
0.63,0.23,0.0,4.61,44.74,0.32,28.0,2.49,49.55,0.77,0.5,85.63,4.93,43.08,90,1.36,1.09,1.76,1.09,0.0,0.0,0.0,0.81,0.09,0.0,0.0,0.0,0.0,18.18,0.54,40.16,2.58,0.27,15.0,1.45,76.19,0.45,0.09,0.36,0.59,3.03,1.45,0.63,20.9,0.05,0.81,0.55,0.0,0.09,0.09,Luis Díaz,FC Bayern München,883537,2672,Germany Bundesliga
0.5,0.0,0.0,6.0,52.17,0.0,0.0,1.5,33.33,1.0,0.0,75.68,6.0,48.0,90,3.5,0.5,1.0,1.0,0.0,0.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,4.5,1.5,14.0,1.5,1.0,15.38,0.5,50.0,0.0,0.0,1.0,0.0,2.0,0.5,1.0,25.0,0.0,0.0,0.07,0.0,0.0,0.0,Leo Scienza,1. FC Heidenheim,1386651,5885,Germany Bundesliga
