goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,league
30,1,0,72,51.06,37,62.71,25,62.5,15,5,81.19,109,54.5,1948,32,21,25,24,0,0,0,21,2,0,0,0,0,218,14,492,32,0,0.0,70,75.27,7,28,11,14,96,58,22,31.25,4,19,22.58,1,0,0,Harry Kane,FC Bayern München,108579,2672,Germany Bundesliga
0,0,0,7,50.0,16,88.89,1,100.0,5,0,83.63,23,71.88,165,1,5,0,2,0,0,0,3,0,0,0,0,0,16,0,143,1,0,0.0,4,23.53,3,16,2,0,5,1,0,0.0,0,0,0.28,0,0,0,Dan-Axel Zagadou,VfB Stuttgart,826205,2677,Germany Bundesliga
10,5,0,109,45.04,6,35.29,49,44.14,20,16,85.04,115,44.4,1791,40,25,25,23,0,0,0,19,2,0,0,0,0,551,22,989,64,24,21.82,20,64.52,11,6,23,7,75,38,23,13.33,4,4,8.38,0,1,2,Michael Olise,FC Bayern München,978838,2672,Germany Bundesliga
10,2,0,130,51.59,4,15.38,86,59.31,21,5,85.36,134,48.2,1716,23,12,40,24,0,0,0,24,0,0,0,0,0,294,8,659,39,6,20.0,21,80.77,14,8,12,4,42,22,11,23.81,0,6,5.5,0,0,0,Yan Diomande,RB Leipzig,2087085,36360,Germany Bundesliga
4,6,0,62,62.0,32,61.54,8,57.14,35,1,86.62,94,61.84,1620,19,20,8,18,0,0,0,19,1,0,0,0,0,213,1,1062,7,3,13.04,132,61.11,15,86,6,2,26,7,10,15.38,1,1,2.73,0,0,0,Nico Schlotterbeck,Borussia Dortmund,940871,2673,Germany Bundesliga
2,4,0,44,56.41,6,35.29,10,76.92,20,6,91.89,50,52.63,1636,14,6,9,21,0,0,0,17,1,0,0,0,0,511,13,1722,39,23,26.14,116,70.73,16,12,16,1,20,8,6,10.0,2,0,2.2,0,4,1,Joshua Kimmich,FC Bayern München,259117,2672,Germany Bundesliga
0,0,0,1,100.0,2,100.0,1,100.0,0,0,75.45,3,100.0,180,0,0,0,2,11,7,4,4,0,1,3,2,3,1,0,83,0,0,0.0,18,40.91,0,4,0,0,0,0,0,0.0,0,0,,0,0,0,Karl Hein,SV Werder Bremen,991591,2534,Germany Bundesliga
0,0,0,2,100.0,0,0.0,1,100.0,0,0,75.94,2,100.0,331,1,0,0,4,11,8,3,6,0,2,1,0,1,5,0,101,0,0,0.0,21,40.38,0,0,0,0,0,0,0,0.0,0,0,,0,0,0,Maarten Vandevoordt,RB Leipzig,934385,36360,Germany Bundesliga
14,5,0,102,44.74,7,28.0,55,49.55,17,11,85.63,109,43.08,1990,30,24,39,24,0,0,0,18,2,0,0,0,0,402,12,888,57,6,15.0,32,76.19,10,2,8,13,67,32,14,20.9,1,18,12.25,0,2,2,Luis Díaz,FC Bayern München,883537,2672,Germany Bundesliga
1,0,0,12,52.17,0,0.0,3,33.33,2,0,75.68,12,48.0,180,7,1,2,2,0,0,0,4,1,0,0,0,0,9,3,28,3,2,15.38,1,50.0,0,0,2,0,4,1,2,25.0,0,0,0.13,0,0,0,Leo Scienza,1. FC Heidenheim,1386651,5885,Germany Bundesliga
10,6,0,66,47.83,11,52.38,19,47.5,27,2,80.31,77,48.43,1651,20,17,23,20,0,0,0,24,3,0,0,0,0,286,11,714,46,31,29.81,53,47.32,15,8,12,0,39,15,16,25.64,0,3,7.2,0,0,0,Nadiem Amiri,1. FSV Mainz 05,327755,2556,Germany Bundesliga
2,4,0,31,49.21,29,56.86,2,50.0,19,0,87.71,60,52.63,1084,10,25,2,15,0,0,0,10,1,0,0,0,0,153,0,735,5,2,25.0,36,42.86,11,66,3,0,9,4,1,22.22,0,1,0.98,0,1,0,Ramy Bensebaini,Borussia Dortmund,577726,2673,Germany Bundesliga
0,1,0,0,0.0,5,83.33,0,0.0,0,0,63.3,5,83.33,1170,0,0,0,13,47,34,13,16,2,11,4,6,4,24,0,257,1,0,0.0,95,39.42,0,12,0,0,0,0,0,0.0,0,0,,0,0,1,Daniel Batz,1. FSV Mainz 05,94312,2556,Germany Bundesliga
1,4,0,35,50.72,8,47.06,4,30.77,17,5,93.07,43,50.0,2031,15,7,4,25,0,0,0,26,3,0,0,0,0,510,10,2244,36,26,27.37,129,75.88,19,26,14,1,22,3,9,4.55,0,2,1.64,0,4,1,Aleix García,Bayer 04 Leverkusen,796047,2681,Germany Bundesliga
5,5,0,44,54.32,125,76.69,5,100.0,15,0,83.24,169,69.26,1980,27,21,13,22,0,0,0,30,3,0,0,0,0,76,0,1083,9,0,0.0,72,42.35,25,192,4,4,28,8,6,17.86,1,1,3.96,1,1,0,Luka Vušković,Hamburger SV,1405212,2676,Germany Bundesliga
