goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,league
0.04,0.22,0.0,4.78,62.94,1.21,64.29,0.22,45.45,3.13,0.04,88.97,5.99,63.21,90,1.52,1.39,0.54,1.12,0.0,0.0,0.0,0.76,0.22,0.0,0.0,0.0,0.0,21.63,0.13,75.3,1.34,0.13,30.0,5.63,59.72,1.3,2.23,0.8,0.0,1.16,0.36,0.36,3.85,0.04,0.0,0.05,0.09,0.13,0.0,Manuel Locatelli,Juventus,363860,2687,Italy Serie A
0.0,1.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,47.73,2.0,100.0,90,0.0,0.0,0.0,1.0,4.0,3.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,21.0,0.0,0.0,0.0,7.0,23.33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Filippo Rinaldi,Parma,1002428,2690,Italy Serie A
0.08,0.12,0.0,3.29,57.14,0.37,47.37,0.53,46.43,1.73,0.12,90.73,3.66,55.97,90,1.03,0.66,0.41,1.07,0.0,0.0,0.0,0.74,0.04,0.0,0.0,0.0,0.0,17.46,0.25,63.51,1.93,1.07,28.57,5.26,72.32,1.48,1.11,0.86,0.0,0.53,0.29,0.16,15.38,0.04,0.0,0.05,0.0,0.12,0.08,Luka Modrić,Milan,15466,2692,Italy Serie A
0.27,0.09,0.0,2.9,55.17,0.09,16.67,0.23,45.45,1.95,0.63,82.5,2.99,51.56,90,0.72,1.31,0.36,1.13,0.0,0.0,0.0,0.59,0.09,0.0,0.0,0.0,0.0,16.71,1.27,38.64,3.35,3.44,33.93,1.31,38.16,0.91,0.86,0.5,0.32,2.22,0.82,0.63,12.24,0.09,0.18,0.17,0.0,0.0,0.0,Federico Dimarco,Inter,284361,2697,Italy Serie A
0.54,0.4,0.0,2.62,48.75,0.61,56.25,0.27,33.33,1.61,0.13,90.51,3.23,50.0,90,0.74,1.41,0.27,1.21,0.0,0.0,0.0,0.67,0.13,0.0,0.0,0.0,0.0,20.78,0.4,69.89,2.42,1.82,36.49,3.83,58.76,0.67,0.87,0.74,0.07,3.03,1.01,0.87,17.78,0.07,0.0,0.37,0.0,0.0,0.0,Hakan Çalhanoğlu,Inter,135700,2697,Italy Serie A
0.7,0.0,0.0,7.35,58.33,0.0,0.0,3.15,60.0,3.5,0.0,82.22,7.35,58.33,90,0.7,0.0,2.8,1.4,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,10.86,0.0,25.91,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,3.15,2.45,0.35,22.22,0.0,0.35,0.16,0.0,0.0,0.0,Alisson Santos,Napoli,1122835,2714,Italy Serie A
0.0,0.0,0.0,2.0,66.67,0.0,0.0,0.0,0.0,2.0,0.0,95.24,2.0,50.0,90,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,80.0,1.0,0.0,0.0,3.0,60.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,0.0,Benjamin Pavard,Inter,787505,2697,Italy Serie A
0.0,0.0,0.0,0.15,80.0,0.44,100.0,0.04,100.0,0.0,0.0,67.35,0.59,94.12,90,0.19,0.04,0.0,1.0,3.19,2.22,0.93,0.7,0.19,0.52,0.63,0.48,0.67,1.11,0.0,20.78,0.0,0.0,0.0,6.96,41.32,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Marco Carnesecchi,Atalanta,865646,2686,Italy Serie A
0.05,0.23,0.0,2.96,58.72,2.22,63.16,0.23,55.56,1.89,0.18,86.96,5.17,60.54,90,0.83,1.66,0.05,1.06,0.0,0.0,0.0,0.6,0.18,0.0,0.0,0.0,0.0,14.51,0.32,63.16,1.06,0.92,27.78,4.9,54.08,0.97,3.42,0.23,0.14,0.74,0.32,0.14,6.25,0.09,0.0,0.06,0.0,0.0,0.0,Alessandro Bastoni,Inter,826188,2697,Italy Serie A
0.34,0.08,0.0,4.88,48.33,0.5,50.0,2.44,52.25,0.55,0.17,84.93,5.38,48.48,90,1.89,0.76,1.85,1.09,0.0,0.0,0.0,0.8,0.13,0.0,0.0,0.0,0.0,15.27,0.42,32.72,2.27,1.01,25.0,1.18,66.67,0.29,0.25,0.46,0.13,3.2,1.35,1.09,10.53,0.21,0.21,0.3,0.0,0.13,0.0,Kenan Yıldız,Juventus,1149011,2687,Italy Serie A
