goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,league
0.63,0.0,0.0,9.2,53.85,0.0,0.0,5.5,53.81,1.56,0.44,81.91,9.2,53.09,90,2.14,1.02,1.65,1.07,0.0,0.0,0.0,0.92,0.05,0.0,0.0,0.0,0.0,24.09,1.02,45.41,2.97,0.92,27.94,1.27,50.98,0.39,0.15,0.49,0.29,4.67,1.61,1.12,13.54,0.15,0.63,0.48,0.0,0.0,0.0,Lamine Yamal,Barcelona,1402912,2817,Spain La Liga
1.02,0.13,0.0,4.04,49.19,0.27,66.67,2.75,53.91,0.09,0.18,86.85,4.31,50.0,90,1.2,0.4,1.33,1.02,0.0,0.0,0.0,0.71,0.13,0.0,0.0,0.0,0.0,18.04,0.36,30.21,2.4,0.22,26.32,1.07,77.42,0.09,0.0,0.22,0.67,4.93,2.27,1.24,20.72,0.13,0.93,0.92,0.0,0.0,0.0,Kylian Mbappé,Real Madrid,826643,2829,Spain La Liga
0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,50.88,1.0,100.0,90,0.0,0.0,0.0,1.0,5.5,3.0,2.0,2.0,0.5,1.0,0.0,2.5,0.0,1.5,0.0,14.5,0.0,0.0,0.0,7.5,35.71,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Pablo Cuñat,Levante UD,1085579,2849,Spain La Liga
0.14,0.0,0.07,5.73,61.36,0.42,75.0,1.84,83.87,2.05,0.42,91.22,6.15,62.14,90,1.84,0.57,1.27,1.27,0.0,0.0,0.0,1.06,0.07,0.0,0.0,0.0,0.0,33.79,0.42,84.49,2.97,0.14,28.57,3.96,65.88,1.06,0.85,1.41,0.28,1.2,0.64,0.28,11.76,0.0,0.0,0.1,0.0,0.07,0.07,Pedri,Barcelona,992587,2817,Spain La Liga
0.0,0.1,0.0,0.3,75.0,0.3,100.0,0.0,0.0,0.0,0.0,75.34,0.6,85.71,90,0.3,0.0,0.0,1.0,2.7,1.9,0.8,0.9,0.2,1.1,1.4,0.2,1.5,3.0,0.0,44.0,0.2,0.0,0.0,13.5,50.19,0.0,1.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.2,0.1,Matías Dituro,Elche,556884,2846,Spain La Liga
0.06,0.24,0.06,4.09,67.33,0.48,50.0,0.24,66.67,2.35,0.24,94.31,4.57,64.96,90,1.5,0.6,0.72,1.14,0.0,0.0,0.0,0.96,0.06,0.0,0.0,0.0,0.0,26.47,0.54,78.75,1.86,0.18,60.0,2.53,84.0,1.02,0.78,0.54,0.0,0.42,0.12,0.12,14.29,0.0,0.12,0.07,0.0,0.0,0.0,Frenkie de Jong,Barcelona,795222,2817,Spain La Liga
0.0,0.05,0.0,0.45,90.0,0.3,100.0,0.05,100.0,0.2,0.0,90.0,0.75,93.75,90,0.2,0.0,0.05,1.0,2.7,2.3,0.4,0.7,0.05,0.65,1.9,0.2,1.9,0.1,0.0,24.75,0.0,0.0,0.0,3.15,54.78,0.05,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.05,0.0,0.0,Joan García,Barcelona,930267,2817,Spain La Liga
0.66,0.25,0.0,3.03,47.44,0.16,40.0,1.47,52.94,0.82,0.25,81.96,3.19,46.99,90,0.74,0.66,0.9,1.39,0.0,0.0,0.0,0.57,0.08,0.0,0.0,0.0,0.0,17.28,0.82,34.97,3.19,1.31,27.59,1.72,56.76,0.25,0.57,0.57,0.25,4.09,1.15,1.15,16.0,0.33,0.16,0.59,0.0,0.0,0.16,Raphinha,Barcelona,831005,2817,Spain La Liga
0.0,0.12,0.0,2.32,60.61,4.64,88.89,0.12,50.0,1.39,0.12,88.43,6.96,76.92,90,0.81,1.04,0.23,1.28,0.0,0.0,0.0,0.23,0.35,0.0,0.0,0.0,0.0,5.8,0.12,54.97,0.35,0.23,66.67,2.2,44.19,1.86,6.61,0.23,0.0,0.46,0.12,0.12,0.0,0.0,0.12,0.01,0.0,0.12,0.0,Marc Pubill,Atlético Madrid,1094106,2836,Spain La Liga
0.4,0.31,0.0,6.54,50.0,0.0,0.0,2.91,43.71,1.06,0.22,83.29,6.54,49.5,90,2.56,1.1,1.28,1.15,0.0,0.0,0.0,0.79,0.18,0.0,0.0,0.0,0.0,18.24,0.26,30.82,2.16,0.4,17.65,1.41,71.11,0.09,0.04,0.49,0.44,3.27,1.37,0.84,12.16,0.13,0.4,0.43,0.0,0.04,0.0,Vinicius Júnior,Real Madrid,868812,2829,Spain La Liga
0.0,0.08,0.0,0.12,75.0,0.48,92.31,0.0,0.0,0.08,0.0,70.0,0.6,88.24,90,0.0,0.0,0.0,1.0,3.88,2.8,1.0,1.32,0.28,0.92,0.68,0.36,0.68,1.44,0.0,22.4,0.0,0.0,0.0,8.16,46.58,0.04,1.28,0.04,0.0,0.08,0.0,0.04,0.0,0.0,0.0,0.01,0.0,0.0,0.0,Mathew Ryan,Levante UD,134029,2849,Spain La Liga
0.09,0.18,0.0,2.87,66.67,2.25,55.56,0.09,33.33,1.8,0.09,90.81,5.12,61.29,90,0.99,1.17,0.09,1.17,0.0,0.0,0.0,0.54,0.09,0.0,0.0,0.0,0.0,7.01,0.18,55.06,0.63,0.0,0.0,3.23,52.17,0.9,4.13,0.18,0.09,1.53,0.72,0.18,5.88,0.0,0.0,0.12,0.0,0.09,0.0,Éder Militão,Real Madrid,822519,2829,Spain La Liga
0.35,0.1,0.05,3.9,51.68,0.25,35.71,0.91,42.86,1.32,0.25,82.03,4.16,50.31,90,1.67,0.66,0.91,1.06,0.0,0.0,0.0,1.06,0.3,0.0,0.0,0.0,0.0,15.57,0.35,35.19,2.18,0.56,21.15,0.81,55.17,0.96,0.81,0.91,0.51,3.14,1.32,0.76,11.29,0.05,0.05,0.32,0.0,0.05,0.0,Antony,Real Betis,958380,2816,Spain La Liga
0.28,0.07,0.0,6.83,56.65,1.32,54.29,1.6,53.49,2.86,0.21,89.89,8.16,56.25,90,2.37,1.88,1.53,1.25,0.0,0.0,0.0,0.7,0.21,0.0,0.0,0.0,0.0,19.31,0.21,51.45,2.09,0.21,33.33,3.0,74.14,0.84,0.84,0.7,0.42,2.51,1.32,0.91,11.11,0.0,0.07,0.37,0.0,0.0,0.0,Jude Bellingham,Real Madrid,991011,2829,Spain La Liga
0.31,0.63,0.0,8.8,54.55,0.21,50.0,3.77,55.38,1.36,0.21,85.07,9.01,54.43,90,3.77,1.05,1.89,1.36,0.0,0.0,0.0,1.05,0.21,0.0,0.0,0.0,0.0,18.23,0.63,39.39,1.89,0.42,25.0,1.26,63.16,1.36,0.52,1.36,0.0,2.93,1.05,1.05,10.71,0.0,0.0,0.15,0.0,0.0,0.1,Azzedine Ounahi,Girona FC,991421,24264,Spain La Liga
0.86,0.0,0.0,3.21,44.83,1.6,50.0,1.11,50.0,1.23,0.0,77.7,4.81,46.43,90,0.86,0.99,1.11,1.48,0.0,0.0,0.0,0.74,0.12,0.0,0.0,0.0,0.0,11.34,0.49,27.49,2.22,0.0,0.0,2.84,74.19,0.37,0.74,0.99,0.25,2.59,1.23,0.62,33.33,0.0,0.25,0.46,0.0,0.0,0.0,Gerard Moreno,Villarreal,146866,2819,Spain La Liga
0.04,0.31,0.0,3.42,66.09,2.7,75.0,0.09,33.33,2.43,0.0,91.48,6.11,69.74,90,0.9,0.99,0.09,1.08,0.0,0.0,0.0,0.76,0.13,0.0,0.0,0.0,0.0,14.66,0.18,60.82,0.9,0.04,16.67,1.89,55.26,1.39,1.89,0.58,0.13,1.39,0.27,0.4,3.23,0.0,0.0,0.09,0.0,0.09,0.0,Aurélien Tchouaméni,Real Madrid,859025,2829,Spain La Liga
0.0,0.08,0.0,0.27,100.0,0.15,100.0,0.08,100.0,0.0,0.0,66.55,0.42,100.0,90,0.23,0.04,0.0,1.0,4.35,3.08,1.19,1.46,0.19,0.58,0.88,0.38,0.96,0.92,0.0,22.88,0.04,0.0,0.0,7.65,40.86,0.0,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.08,0.08,0.0,Aarón Escandell,Real Oviedo,368922,2851,Spain La Liga
0.34,0.14,0.0,7.14,54.12,1.5,40.74,1.7,47.17,2.18,0.34,79.35,8.64,51.21,90,3.27,1.29,1.77,1.16,0.0,0.0,0.0,0.95,0.27,0.0,0.0,0.0,0.0,10.75,0.61,25.1,1.22,0.14,6.67,0.61,75.0,0.68,0.54,1.36,0.48,3.4,0.95,0.95,10.0,0.27,0.14,0.4,0.0,0.0,0.0,Abdessamad Ezzalzouli,Real Betis,1011375,2816,Spain La Liga
0.08,0.08,0.0,2.58,59.62,0.79,63.33,0.62,55.56,1.5,0.29,89.83,3.37,60.45,90,0.46,0.54,0.25,1.08,0.0,0.0,0.0,0.71,0.17,0.0,0.0,0.0,0.0,19.99,0.29,56.68,1.54,0.21,20.83,2.21,57.61,0.83,1.75,0.46,0.04,1.54,0.46,0.37,5.41,0.0,0.04,0.08,0.04,0.04,0.0,Federico Valverde,Real Madrid,831808,2829,Spain La Liga
0.06,0.32,0.06,2.24,62.5,2.36,60.66,0.13,100.0,1.53,0.13,89.14,4.6,61.54,90,0.57,1.02,0.13,1.21,0.0,0.0,0.0,0.57,0.19,0.0,0.0,0.0,0.0,12.33,0.06,65.02,0.57,0.0,0.0,4.73,63.25,1.09,5.37,0.32,0.13,1.02,0.19,0.26,6.25,0.0,0.0,0.11,0.0,0.13,0.0,Dean Huijsen,Real Madrid,1176744,2829,Spain La Liga
0.08,0.28,0.0,6.67,63.85,0.16,23.53,1.65,65.08,1.81,0.04,90.16,6.83,61.37,90,3.25,0.88,1.37,1.0,0.0,0.0,0.0,1.13,0.24,0.0,0.0,0.0,0.0,17.84,0.04,53.0,0.76,0.04,5.88,1.53,66.67,0.68,0.52,0.76,0.04,0.72,0.32,0.24,11.11,0.0,0.0,0.07,0.0,0.08,0.0,Aleix Febas,Elche,286167,2846,Spain La Liga
0.33,0.33,0.0,5.0,35.71,3.0,56.25,2.0,40.0,0.67,0.33,62.79,8.0,41.38,90,2.67,3.33,2.67,1.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.0,0.0,6.0,0.33,9.0,1.33,0.33,100.0,0.33,25.0,0.0,0.67,0.0,0.33,2.0,0.33,0.67,16.67,0.0,0.33,0.47,0.0,0.0,0.0,Christantus Uche,Getafe,1884145,2859,Spain La Liga
0.5,0.0,0.0,2.0,36.36,0.0,0.0,0.5,33.33,0.0,0.0,86.11,2.0,36.36,90,1.5,1.5,1.0,1.0,0.0,0.0,0.0,1.5,1.0,0.0,0.0,0.0,0.0,12.5,0.5,31.0,4.5,2.5,50.0,2.5,71.43,0.5,0.0,0.5,0.0,1.0,0.5,0.0,50.0,0.5,0.0,0.04,0.0,0.0,0.0,Dodi Lukebakio,Sevilla,823631,2833,Spain La Liga
0.0,0.0,0.0,0.0,0.0,0.19,100.0,0.0,0.0,0.0,0.0,74.02,0.19,37.5,90,0.06,0.0,0.0,1.0,3.44,2.56,0.88,1.5,0.25,0.5,1.0,0.13,1.06,1.94,0.06,41.13,0.19,0.0,0.0,7.38,34.81,0.0,1.25,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.06,0.06,0.0,Iñaki Peña,Elche,794949,2846,Spain La Liga
0.0,0.11,0.0,0.15,66.67,0.22,85.71,0.0,0.0,0.0,0.0,68.01,0.37,76.92,90,0.15,0.07,0.0,1.0,3.44,1.96,1.48,0.96,0.22,0.63,1.33,0.44,1.33,0.85,0.0,18.74,0.0,0.0,0.0,6.26,42.14,0.0,1.3,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.07,0.04,0.0,Sergio Herrera,Osasuna,294377,2820,Spain La Liga
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.16,0.0,0.0,90,0.0,0.0,0.0,1.0,2.83,2.17,0.5,1.67,0.17,0.17,2.0,0.5,2.0,0.33,0.0,25.33,0.0,0.0,0.0,2.5,31.91,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Wojciech Szczęsny,Barcelona,50490,2817,Spain La Liga
0.76,0.13,0.04,2.6,48.44,4.53,56.25,0.55,59.09,0.25,0.04,63.33,7.14,53.13,90,2.01,1.09,1.3,1.09,0.0,0.0,0.0,1.39,0.21,0.0,0.0,0.0,0.0,3.53,0.04,12.76,0.5,0.04,100.0,0.59,63.64,0.08,1.97,0.21,0.59,3.15,1.51,0.55,24.0,0.0,0.46,0.54,0.0,0.0,0.0,Vedat Muriqi,Mallorca,310874,2826,Spain La Liga
0.4,0.0,0.0,4.18,52.1,0.88,65.0,0.34,21.74,1.82,0.4,85.3,5.06,53.96,90,2.02,1.08,0.94,1.42,0.0,0.0,0.0,0.74,0.13,0.0,0.0,0.0,0.0,19.16,0.47,47.77,2.43,0.34,22.73,1.69,55.56,0.67,1.01,0.61,0.4,3.64,1.21,0.94,11.11,0.27,0.07,0.41,0.0,0.07,0.0,Dani Olmo,Barcelona,789071,2817,Spain La Liga
0.0,0.19,0.0,2.31,68.57,0.87,56.25,0.29,75.0,1.92,0.0,89.73,3.17,64.71,90,0.1,0.77,0.1,1.25,0.0,0.0,0.0,0.58,0.29,0.0,0.0,0.0,0.0,4.33,0.0,48.75,0.0,0.1,100.0,2.98,52.54,1.54,5.38,0.1,0.0,0.19,0.0,0.1,0.0,0.0,0.0,0.01,0.0,0.19,0.0,Juan Foyth,Villarreal,873189,2819,Spain La Liga
0.0,0.0,0.0,0.12,60.0,0.2,83.33,0.0,0.0,0.0,0.0,74.63,0.32,72.73,90,0.16,0.0,0.0,1.0,2.28,1.56,0.72,0.72,0.2,0.64,0.44,0.4,0.44,0.44,0.0,22.12,0.0,0.0,0.0,6.88,47.91,0.0,0.76,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Jan Oblak,Atlético Madrid,69768,2836,Spain La Liga
0.15,0.05,0.0,4.43,56.95,0.21,30.77,1.24,63.16,1.8,0.41,90.71,4.63,54.88,90,1.39,1.03,0.67,1.39,0.0,0.0,0.0,0.77,0.05,0.0,0.0,0.0,0.0,22.45,0.62,52.77,3.04,1.75,30.36,2.99,70.73,0.41,0.41,0.98,0.15,2.16,0.82,0.62,7.14,0.0,0.15,0.22,0.05,0.05,0.0,Arda Güler,Real Madrid,1091116,2829,Spain La Liga
0.05,0.05,0.0,1.72,57.38,2.4,65.33,0.05,100.0,1.42,0.0,94.66,4.12,61.76,90,0.25,0.88,0.05,1.03,0.0,0.0,0.0,1.03,0.1,0.0,0.0,0.0,0.0,8.43,0.05,84.31,0.2,0.0,0.0,1.96,55.56,1.03,3.77,0.49,0.0,0.44,0.1,0.15,11.11,0.0,0.0,0.03,0.0,0.05,0.0,Pau Cubarsí,Barcelona,1402913,2817,Spain La Liga
0.46,0.09,0.0,3.37,49.01,1.32,30.53,1.05,53.49,0.86,0.14,76.65,4.69,41.87,90,1.5,0.73,1.37,1.05,0.0,0.0,0.0,1.27,0.09,0.0,0.0,0.0,0.0,7.1,0.46,17.47,1.5,0.09,14.29,0.5,52.38,0.09,0.86,0.55,0.5,2.82,1.23,0.64,16.13,0.0,0.5,0.49,0.0,0.0,0.0,Mikel Oyarzabal,Real Sociedad,823622,2824,Spain La Liga
0.12,0.24,0.0,2.94,47.57,0.78,56.52,0.18,37.5,2.04,0.12,92.69,3.72,49.21,90,0.72,0.9,0.78,1.44,0.0,0.0,0.0,0.6,0.3,0.0,0.0,0.0,0.0,17.45,0.12,72.97,1.2,0.42,31.82,4.38,70.87,0.9,1.26,1.26,0.0,0.48,0.18,0.18,25.0,0.0,0.0,0.02,0.0,0.0,0.0,Koke,Atlético Madrid,84539,2836,Spain La Liga
0.38,0.15,0.0,5.09,51.54,0.53,41.18,1.82,55.81,2.2,0.53,87.3,5.63,50.34,90,1.06,1.29,0.99,1.52,0.0,0.0,0.0,0.99,0.08,0.0,0.0,0.0,0.0,17.1,0.91,41.28,1.9,0.46,19.35,1.82,64.86,0.46,0.3,1.14,0.38,3.65,1.29,0.84,10.42,0.15,0.3,0.38,0.0,0.15,0.0,Fermín López,Barcelona,1153270,2817,Spain La Liga
