goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,league
13,0,0,189,53.85,0,0.0,113,53.81,32,9,81.91,189,53.09,1849,44,21,34,22,0,0,0,19,1,0,0,0,0,495,21,933,61,19,27.94,26,50.98,8,3,10,6,96,33,23,13.54,3,13,9.92,0,0,0,Lamine Yamal,Barcelona,1402912,2817,Spain La Liga
23,3,0,91,49.19,6,66.67,62,53.91,2,4,86.85,97,50.0,2026,27,9,30,23,0,0,0,16,3,0,0,0,0,406,8,680,54,5,26.32,24,77.42,2,0,5,15,111,51,28,20.72,3,21,20.8,0,0,0,Kylian Mbappé,Real Madrid,826643,2829,Spain La Liga
0,0,0,0,0.0,2,100.0,0,0.0,0,0,50.88,2,100.0,180,0,0,0,2,11,6,4,4,1,2,0,5,0,3,0,29,0,0,0.0,15,35.71,0,6,0,0,0,0,0,0.0,0,0,,0,0,0,Pablo Cuñat,Levante UD,1085579,2849,Spain La Liga
2,0,1,81,61.36,6,75.0,26,83.87,29,6,91.22,87,62.14,1273,26,8,18,18,0,0,0,15,1,0,0,0,0,478,6,1195,42,2,28.57,56,65.88,15,12,20,4,17,9,4,11.76,0,0,1.48,0,1,1,Pedri,Barcelona,992587,2817,Spain La Liga
0,1,0,3,75.0,3,100.0,0,0.0,0,0,75.34,6,85.71,900,3,0,0,10,27,19,8,9,2,11,14,2,15,30,0,440,2,0,0.0,135,50.19,0,14,1,0,0,0,0,0.0,0,0,,0,2,1,Matías Dituro,Elche,556884,2846,Spain La Liga
1,4,1,68,67.33,8,50.0,4,66.67,39,4,94.31,76,64.96,1496,25,10,12,19,0,0,0,16,1,0,0,0,0,440,9,1309,31,3,60.0,42,84.0,17,13,9,0,7,2,2,14.29,0,2,1.17,0,0,0,Frenkie de Jong,Barcelona,795222,2817,Spain La Liga
0,1,0,9,90.0,6,100.0,1,100.0,4,0,90.0,15,93.75,1800,4,0,1,20,54,46,8,14,1,13,38,4,38,2,0,495,0,0,0.0,63,54.78,1,27,0,0,0,0,0,0.0,0,0,,1,0,0,Joan García,Barcelona,930267,2817,Spain La Liga
8,3,0,37,47.44,2,40.0,18,52.94,10,3,81.96,39,46.99,1099,9,8,11,17,0,0,0,7,1,0,0,0,0,211,10,427,39,16,27.59,21,56.76,3,7,7,3,50,14,14,16.0,4,2,7.2,0,0,2,Raphinha,Barcelona,831005,2817,Spain La Liga
0,1,0,20,60.61,40,88.89,1,50.0,12,1,88.43,60,76.92,776,7,9,2,11,0,0,0,2,3,0,0,0,0,50,1,474,3,2,66.67,19,44.19,16,57,2,0,4,1,1,0.0,0,1,0.11,0,1,0,Marc Pubill,Atlético Madrid,1094106,2836,Spain La Liga
9,7,0,148,50.0,0,0.0,66,43.71,24,5,83.29,148,49.5,2038,58,25,29,26,0,0,0,18,4,0,0,0,0,413,6,698,49,9,17.65,32,71.11,2,1,11,10,74,31,19,12.16,3,9,9.85,0,1,0,Vinicius Júnior,Real Madrid,868812,2829,Spain La Liga
