teamName,teamId,goalsScored,goalsConceded,ownGoals,assists,shots,penaltyGoals,penaltiesTaken,freeKickGoals,freeKickShots,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,bigChances,bigChancesCreated,bigChancesMissed,shotsOnTarget,shotsOffTarget,blockedScoringAttempt,successfulDribbles,dribbleAttempts,corners,hitWoodwork,fastBreaks,fastBreakGoals,fastBreakShots,averageBallPossession,totalPasses,accuratePasses,accuratePassesPercentage,totalOwnHalfPasses,accurateOwnHalfPasses,accurateOwnHalfPassesPercentage,totalOppositionHalfPasses,accurateOppositionHalfPasses,accurateOppositionHalfPassesPercentage,totalLongBalls,accurateLongBalls,accurateLongBallsPercentage,totalCrosses,accurateCrosses,accurateCrossesPercentage,cleanSheets,tackles,interceptions,saves,errorsLeadingToGoal,errorsLeadingToShot,penaltiesCommited,penaltyGoalsConceded,clearances,clearancesOffLine,lastManTackles,totalDuels,duelsWon,duelsWonPercentage,totalGroundDuels,groundDuelsWon,groundDuelsWonPercentage,totalAerialDuels,aerialDuelsWon,aerialDuelsWonPercentage,possessionLost,offsides,fouls,yellowCards,yellowRedCards,redCards,avgRating,accurateFinalThirdPassesAgainst,accurateOppositionHalfPassesAgainst,accurateOwnHalfPassesAgainst,accuratePassesAgainst,bigChancesAgainst,bigChancesCreatedAgainst,bigChancesMissedAgainst,clearancesAgainst,cornersAgainst,crossesSuccessfulAgainst,crossesTotalAgainst,dribbleAttemptsTotalAgainst,dribbleAttemptsWonAgainst,errorsLeadingToGoalAgainst,errorsLeadingToShotAgainst,hitWoodworkAgainst,interceptionsAgainst,keyPassesAgainst,longBallsSuccessfulAgainst,longBallsTotalAgainst,offsidesAgainst,redCardsAgainst,shotsAgainst,shotsBlockedAgainst,shotsFromInsideTheBoxAgainst,shotsFromOutsideTheBoxAgainst,shotsOffTargetAgainst,shotsOnTargetAgainst,blockedScoringAttemptAgainst,tacklesAgainst,totalFinalThirdPassesAgainst,oppositionHalfPassesTotalAgainst,ownHalfPassesTotalAgainst,totalPassesAgainst,yellowCardsAgainst,throwIns,goalKicks,ballRecovery,freeKicks,id,matches,awardedMatches,statisticsType,league
Olympique de Marseille,1641,51,33,2,38,345,5,7,1,11,40,10,219,126,4,10,36,69,53,38,137,125,83,151,350,118,10,26,3,22,57.833333333333,13557,12044,88.839713800988,6387,6007,94.050414905276,7170,6037,84.198047419805,729,386,52.949245541838,387,87,22.480620155039,6,350,181,68,3,13,4,4,422,3,5,2006,968,48.255234297109,1540,736,47.792207792208,466,232,49.785407725322,2589,26,309,54,1,4,6.8651226158038,1466,3321,4888,8209,70,52,50,568,86,59,321,346,163,8,16,10,192,181,457,966,60,4,248,58,178,70,88,102,58,345,2115,4344,5355,9699,38,374,147,1123,244,48095,24,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",France Ligue 1
Nantes,1647,22,41,1,11,244,2,4,0,9,19,2,152,92,4,1,16,42,29,27,66,103,75,171,394,76,12,26,3,24,43,8761,6982,79.694098847164,4712,4205,89.240237691002,4049,2777,68.584835761917,847,372,43.919716646989,354,82,23.16384180791,4,405,171,75,7,16,3,3,656,1,9,2366,1191,50.338123415046,1719,861,50.087260034904,647,330,51.004636785162,3019,31,304,50,0,1,6.6981081081081,2322,4822,5035,9857,68,51,40,561,140,122,524,369,164,3,15,8,188,255,549,1137,67,4,335,88,231,104,131,116,88,414,3217,6138,5412,11550,60,473,208,1080,305,48481,24,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",France Ligue 1
RC Lens,1648,45,21,0,32,349,4,5,0,6,41,3,248,101,9,18,17,90,67,61,123,142,84,185,390,135,7,43,6,36,49,10761,9095,84.518167456556,5267,4794,91.019555724321,5494,4301,78.285402257008,814,430,52.825552825553,484,135,27.892561983471,9,466,270,64,4,7,5,2,508,1,6,2428,1213,49.95881383855,1870,936,50.053475935829,558,277,49.641577060932,2946,50,324,47,2,4,6.9588235294118,1855,4103,5563,9666,47,30,34,515,96,92,368,467,210,6,14,6,207,203,514,1088,21,5,277,87,174,103,104,86,87,430,2658,5370,6118,11488,55,399,145,1307,291,48191,24,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",France Ligue 1
Angers,1684,22,30,0,11,221,2,2,0,4,20,1,135,86,2,7,12,38,27,23,82,78,61,136,365,83,4,30,4,27,42.375,9883,8202,82.990994637256,5694,5102,89.603090972954,4189,3100,74.003342086417,677,330,48.744460856721,344,74,21.511627906977,8,434,240,88,3,12,5,2,554,1,4,2175,1082,49.747126436782,1625,815,50.153846153846,550,267,48.545454545455,2914,38,264,36,0,1,6.7487738419618,2590,5621,6393,12014,60,44,39,410,124,118,457,379,153,3,17,14,223,241,576,1072,27,2,328,70,210,118,139,119,70,425,3501,6998,6734,13732,28,402,207,1209,252,48423,24,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",France Ligue 1
Nice,1661,30,44,0,22,276,2,2,0,5,25,3,177,99,3,11,14,60,45,43,100,103,73,179,376,121,4,27,5,24,48.125,10334,8610,83.317205341591,5382,4915,91.32292827945,4952,3695,74.616316639742,766,370,48.302872062663,447,109,24.384787472036,3,368,222,82,5,17,8,7,638,3,2,2304,1134,49.21875,1648,816,49.514563106796,656,318,48.475609756098,2955,34,303,52,1,2,6.7230563002681,2278,4496,4923,9419,64,47,33,561,141,126,502,345,171,1,11,8,213,272,593,1190,17,2,366,104,224,142,135,127,104,388,3109,5817,5367,11184,50,399,171,1231,272,48309,24,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",France Ligue 1
Metz,1651,22,53,3,13,226,4,5,1,5,17,4,133,93,1,11,9,32,24,18,73,88,65,178,353,98,4,20,3,17,49.125,10889,9364,85.99504086693,6434,5929,92.151072427728,4455,3435,77.104377104377,973,529,54.367934224049,428,90,21.028037383178,4,398,167,88,4,20,7,6,522,1,8,2150,1051,48.883720930233,1653,821,49.667271627344,497,230,46.277665995976,2721,31,271,38,1,4,6.6657458563536,2108,4626,5355,9981,68,54,38,494,117,93,378,416,197,4,12,12,193,266,496,958,36,1,349,80,229,120,132,137,80,387,2904,5769,5688,11457,33,404,196,1091,250,48421,24,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",France Ligue 1
Auxerre,1646,19,35,2,10,259,3,5,0,4,12,3,162,97,3,1,11,40,25,30,76,101,82,187,387,119,7,34,1,33,44.458333333333,9193,7438,80.909387577505,4167,3732,89.560835133189,5026,3706,73.736569836848,820,400,48.780487804878,404,103,25.49504950495,5,434,256,83,4,13,2,1,487,1,7,2441,1243,50.921753379762,1799,939,52.195664257921,642,304,47.352024922118,3018,30,323,50,3,6,6.7297450424929,1742,4201,5853,10054,63,49,42,581,109,110,361,345,146,3,15,7,203,213,558,1077,33,4,288,66,188,100,106,117,65,422,2530,5449,6306,11755,61,458,163,1162,326,48425,24,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",France Ligue 1
Stade Rennais,1658,38,35,0,28,314,2,2,0,5,34,3,188,126,9,11,16,53,41,23,107,112,95,155,360,133,8,25,3,22,52,11187,9472,84.669705908644,5402,4864,90.040725657164,5785,4608,79.654278305964,705,340,48.22695035461,450,91,20.222222222222,7,393,197,66,6,14,4,3,523,0,4,2147,1081,50.349324639031,1657,818,49.366324683162,490,263,53.673469387755,3002,55,300,42,1,4,6.8123595505618,1891,3838,4855,8693,70,54,44,554,116,107,419,338,150,6,16,10,246,249,519,1155,45,5,327,94,215,112,132,101,94,405,2723,5104,5338,10442,48,469,197,1169,279,48094,24,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",France Ligue 1
AS Monaco,1653,43,37,1,30,303,4,5,0,7,37,4,223,80,6,14,21,77,55,42,107,118,78,141,344,119,9,26,5,23,52.68,11773,9868,83.818907670093,5293,4801,90.704704326469,6480,5067,78.194444444444,800,407,50.875,430,98,22.790697674419,6,449,274,70,4,17,5,4,519,5,4,2373,1168,49.220396123051,1758,850,48.35039817975,615,318,51.707317073171,3239,55,325,57,2,6,6.8146214099217,2030,4009,4639,8648,48,34,27,571,110,84,395,410,201,11,19,7,258,265,556,1219,24,4,333,95,209,124,128,111,94,403,2803,5285,5290,10575,42,494,193,1300,265,48291,25,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",France Ligue 1
Toulouse,1681,33,28,0,20,314,4,7,0,4,28,4,215,99,4,12,16,43,26,23,109,122,83,189,413,117,7,22,1,20,42.916666666667,8884,7218,81.247185952274,4157,3783,91.003127255232,4727,3435,72.66765390311,708,354,50,403,103,25.558312655087,8,398,222,50,4,15,4,4,584,2,4,2465,1224,49.655172413793,1746,843,48.281786941581,719,381,52.990264255911,2934,25,344,56,0,2,6.803591160221,1809,4237,6262,10499,49,33,28,600,120,97,407,364,161,5,22,6,209,183,538,1216,28,3,261,75,155,106,107,79,75,432,2518,5495,6771,12266,50,416,160,1123,266,48310,24,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",France Ligue 1
