teamName,teamId,goalsScored,goalsConceded,ownGoals,assists,shots,penaltyGoals,penaltiesTaken,freeKickGoals,freeKickShots,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,bigChances,bigChancesCreated,bigChancesMissed,shotsOnTarget,shotsOffTarget,blockedScoringAttempt,successfulDribbles,dribbleAttempts,corners,hitWoodwork,fastBreaks,fastBreakGoals,fastBreakShots,averageBallPossession,totalPasses,accuratePasses,accuratePassesPercentage,totalOwnHalfPasses,accurateOwnHalfPasses,accurateOwnHalfPassesPercentage,totalOppositionHalfPasses,accurateOppositionHalfPasses,accurateOppositionHalfPassesPercentage,totalLongBalls,accurateLongBalls,accurateLongBallsPercentage,totalCrosses,accurateCrosses,accurateCrossesPercentage,cleanSheets,tackles,interceptions,saves,errorsLeadingToGoal,errorsLeadingToShot,penaltiesCommited,penaltyGoalsConceded,clearances,clearancesOffLine,lastManTackles,totalDuels,duelsWon,duelsWonPercentage,totalGroundDuels,groundDuelsWon,groundDuelsWonPercentage,totalAerialDuels,aerialDuelsWon,aerialDuelsWonPercentage,possessionLost,offsides,fouls,yellowCards,yellowRedCards,redCards,avgRating,accurateFinalThirdPassesAgainst,accurateOppositionHalfPassesAgainst,accurateOwnHalfPassesAgainst,accuratePassesAgainst,bigChancesAgainst,bigChancesCreatedAgainst,bigChancesMissedAgainst,clearancesAgainst,cornersAgainst,crossesSuccessfulAgainst,crossesTotalAgainst,dribbleAttemptsTotalAgainst,dribbleAttemptsWonAgainst,errorsLeadingToGoalAgainst,errorsLeadingToShotAgainst,hitWoodworkAgainst,interceptionsAgainst,keyPassesAgainst,longBallsSuccessfulAgainst,longBallsTotalAgainst,offsidesAgainst,redCardsAgainst,shotsAgainst,shotsBlockedAgainst,shotsFromInsideTheBoxAgainst,shotsFromOutsideTheBoxAgainst,shotsOffTargetAgainst,shotsOnTargetAgainst,blockedScoringAttemptAgainst,tacklesAgainst,totalFinalThirdPassesAgainst,oppositionHalfPassesTotalAgainst,ownHalfPassesTotalAgainst,totalPassesAgainst,yellowCardsAgainst,throwIns,goalKicks,ballRecovery,freeKicks,id,matches,awardedMatches,statisticsType,league
1. FC Heidenheim,5885,24,57,1,15,291,1,1,1,8,22,2,192,99,3,8,13,59,50,43,85,134,72,131,288,117,4,21,4,19,42.48,9201,7066,76.796000434735,4565,4069,89.134720700986,4636,2997,64.646246764452,889,404,45.444319460067,421,104,24.703087885986,0,371,235,85,9,18,6,5,818,5,3,2375,1163,48.968421052632,1515,748,49.372937293729,860,415,48.255813953488,3321,48,257,37,0,1,6.6518987341772,2866,6045,4848,10893,83,61,46,692,122,106,458,421,217,3,12,10,174,296,604,1333,27,1,385,92,266,119,148,145,92,313,3979,7717,5280,12997,47,464,223,1224,257,48990,25,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",Germany Bundesliga
VfB Stuttgart,2677,50,34,1,39,377,4,5,0,5,42,7,250,127,4,13,32,69,55,43,149,135,93,154,285,135,4,29,3,26,58.48,13198,11158,84.543112592817,5558,5037,90.626124505218,7640,6121,80.11780104712,782,368,47.058823529412,498,129,25.903614457831,9,358,210,75,4,14,8,7,647,3,6,2300,1239,53.869565217391,1478,801,54.194857916103,822,438,53.284671532847,3281,52,243,49,0,1,6.9225464190981,1672,3231,3929,7160,59,39,36,699,104,92,382,279,114,6,12,7,258,215,625,1531,42,3,314,85,226,88,119,110,85,337,2634,4817,4506,9323,38,474,155,1203,296,48997,25,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",Germany Bundesliga
1. FC Union Berlin,2547,29,38,1,16,299,2,4,0,6,26,3,222,77,5,6,17,52,31,34,86,136,77,113,252,125,9,26,2,23,39.041666666667,7758,5564,71.719515339005,3360,2909,86.577380952381,4398,2655,60.368349249659,1041,413,39.673390970221,480,140,29.166666666667,5,365,205,66,3,7,6,6,754,2,5,2567,1246,48.539150759642,1500,710,47.333333333333,1067,536,50.234301780694,3469,37,316,55,0,2,6.7197333333333,2134,5077,5459,10536,59,47,37,813,103,105,448,315,157,5,16,7,152,218,546,1300,30,3,300,80,194,106,119,102,79,343,3127,6627,6017,12644,50,494,185,1131,240,48996,24,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",Germany Bundesliga
SV Werder Bremen,2534,25,44,1,18,325,2,3,0,10,21,3,201,124,4,6,14,44,34,29,101,123,101,152,340,109,6,37,3,34,51.041666666667,11512,9441,82.010076441974,5792,5148,88.881215469613,5720,4293,75.052447552448,1074,501,46.648044692737,438,107,24.429223744292,5,413,228,81,7,11,4,4,674,6,0,2163,1094,50.577901063338,1546,777,50.25873221216,617,317,51.377633711507,3285,35,245,56,3,3,6.7352777777778,2284,4702,4601,9303,65,52,41,649,116,102,424,376,178,3,17,9,285,254,568,1229,37,2,327,79,220,107,119,129,79,360,3238,6167,5078,11245,36,502,183,1164,217,48993,24,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",Germany Bundesliga
RB Leipzig,36360,48,34,1,36,403,1,3,1,11,40,6,290,113,6,18,22,89,68,59,144,145,114,283,531,138,16,34,4,29,54.08,12801,10871,84.923052886493,6195,5663,91.412429378531,6606,5208,78.837420526794,905,445,49.171270718232,428,115,26.869158878505,9,366,219,63,5,14,3,2,709,3,10,2432,1241,51.027960526316,1729,897,51.87969924812,703,344,48.933143669986,3298,34,231,36,0,0,6.9693150684931,1899,4078,4740,8818,61,55,40,708,113,96,433,308,145,7,12,7,216,232,598,1315,60,0,301,88,204,97,115,99,87,475,2851,5606,5252,10858,52,446,183,1272,254,48957,25,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",Germany Bundesliga
VfL Wolfsburg,2524,34,55,4,28,291,3,3,1,6,32,2,179,112,7,13,14,60,47,36,98,128,65,120,303,96,9,32,4,26,46.24,10374,8277,79.786003470214,5326,4749,89.166353736388,5048,3528,69.889064976228,947,402,42.449841605069,365,104,28.493150684932,1,384,218,90,4,9,11,7,901,4,6,2376,1130,47.558922558923,1546,728,47.089262613195,830,402,48.433734939759,3213,31,292,49,1,2,6.7088,2636,5144,4868,10012,80,57,49,563,186,164,688,368,202,4,23,13,182,280,693,1412,50,0,387,105,266,121,139,143,105,355,3610,6670,5391,12061,44,441,223,1065,227,48991,25,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",Germany Bundesliga
SC Freiburg,2538,37,42,1,20,312,5,6,1,8,33,2,212,100,3,6,26,52,35,29,105,118,89,146,320,112,7,17,1,16,47.52,10118,8206,81.102984779601,4771,4324,90.630894990568,5347,3882,72.601458761923,776,361,46.520618556701,465,128,27.52688172043,5,348,222,74,9,18,1,0,658,2,3,2363,1218,51.544646635633,1475,777,52.677966101695,888,441,49.662162162162,3210,49,238,39,1,3,6.7647668393782,2267,4702,4716,9418,56,46,35,783,103,135,457,281,121,4,8,4,198,261,580,1290,34,3,348,106,225,123,128,114,106,360,3155,6147,5217,11364,59,463,173,1077,287,49000,25,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",Germany Bundesliga
Hamburger SV,2676,28,36,0,18,317,3,5,1,9,27,1,208,109,3,11,14,46,34,31,119,120,78,179,349,94,10,42,9,34,46.8,10159,8267,81.376119696821,5564,5060,90.941768511862,4595,3207,69.793253536453,891,414,46.464646464646,429,99,23.076923076923,6,362,208,76,6,15,6,4,773,4,3,2427,1258,51.833539348991,1628,841,51.658476658477,799,417,52.190237797247,3124,51,301,55,5,6,6.7860406091371,2432,5460,4195,9655,71,51,43,650,133,124,470,323,145,2,15,9,209,257,466,1204,34,2,347,86,227,120,145,116,86,360,3503,7069,4580,11649,55,449,224,1093,312,49293,25,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",Germany Bundesliga
Eintracht Frankfurt,2674,48,49,1,34,279,4,4,0,7,45,3,194,85,6,20,22,64,47,36,108,93,78,154,329,103,9,21,4,18,52.875,11788,9814,83.254156769596,5865,5292,90.230179028133,5923,4522,76.346446057741,874,411,47.025171624714,363,79,21.763085399449,5,397,225,62,11,13,3,3,630,2,6,2266,1076,47.484554280671,1561,768,49.199231262012,705,308,43.687943262411,3164,28,261,43,2,2,6.7506666666667,2014,4205,4499,8704,66,53,35,667,102,108,407,366,163,6,11,10,205,216,576,1227,69,2,299,66,208,91,121,112,66,385,2918,5600,4989,10589,48,482,184,1100,220,48992,24,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",Germany Bundesliga
FC St. Pauli,2526,23,40,0,16,249,4,5,1,6,21,2,149,100,5,6,12,36,26,27,85,87,77,116,249,111,3,26,1,25,44.75,10500,8239,78.466666666667,4967,4415,88.886651902557,5533,3824,69.112597144406,1004,370,36.852589641434,425,73,17.176470588235,4,402,234,89,6,12,4,2,656,2,5,2219,1088,49.031095087877,1401,737,52.60528194147,818,351,42.909535452323,3389,48,244,36,0,1,6.7080229226361,2031,5159,6129,11288,77,57,47,720,125,99,372,358,145,6,5,11,209,204,627,1347,53,2,281,67,193,88,85,129,67,292,3046,6744,6617,13361,45,515,154,1164,230,49073,24,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",Germany Bundesliga
