teamName,teamId,goalsScored,goalsConceded,ownGoals,assists,shots,penaltyGoals,penaltiesTaken,freeKickGoals,freeKickShots,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,bigChances,bigChancesCreated,bigChancesMissed,shotsOnTarget,shotsOffTarget,blockedScoringAttempt,successfulDribbles,dribbleAttempts,corners,hitWoodwork,fastBreaks,fastBreakGoals,fastBreakShots,averageBallPossession,totalPasses,accuratePasses,accuratePassesPercentage,totalOwnHalfPasses,accurateOwnHalfPasses,accurateOwnHalfPassesPercentage,totalOppositionHalfPasses,accurateOppositionHalfPasses,accurateOppositionHalfPassesPercentage,totalLongBalls,accurateLongBalls,accurateLongBallsPercentage,totalCrosses,accurateCrosses,accurateCrossesPercentage,cleanSheets,tackles,interceptions,saves,errorsLeadingToGoal,errorsLeadingToShot,penaltiesCommited,penaltyGoalsConceded,clearances,clearancesOffLine,lastManTackles,totalDuels,duelsWon,duelsWonPercentage,totalGroundDuels,groundDuelsWon,groundDuelsWonPercentage,totalAerialDuels,aerialDuelsWon,aerialDuelsWonPercentage,possessionLost,offsides,fouls,yellowCards,yellowRedCards,redCards,avgRating,accurateFinalThirdPassesAgainst,accurateOppositionHalfPassesAgainst,accurateOwnHalfPassesAgainst,accuratePassesAgainst,bigChancesAgainst,bigChancesCreatedAgainst,bigChancesMissedAgainst,clearancesAgainst,cornersAgainst,crossesSuccessfulAgainst,crossesTotalAgainst,dribbleAttemptsTotalAgainst,dribbleAttemptsWonAgainst,errorsLeadingToGoalAgainst,errorsLeadingToShotAgainst,hitWoodworkAgainst,interceptionsAgainst,keyPassesAgainst,longBallsSuccessfulAgainst,longBallsTotalAgainst,offsidesAgainst,redCardsAgainst,shotsAgainst,shotsBlockedAgainst,shotsFromInsideTheBoxAgainst,shotsFromOutsideTheBoxAgainst,shotsOffTargetAgainst,shotsOnTargetAgainst,blockedScoringAttemptAgainst,tacklesAgainst,totalFinalThirdPassesAgainst,oppositionHalfPassesTotalAgainst,ownHalfPassesTotalAgainst,totalPassesAgainst,yellowCardsAgainst,throwIns,goalKicks,ballRecovery,freeKicks,id,matches,awardedMatches,statisticsType,league
Real Madrid,2829,56,23,0,41,493,11,13,0,14,48,8,310,183,6,8,42,94,69,58,184,182,127,282,578,177,12,38,7,31,59.851851851852,16013,14354,89.639667769937,6012,5644,93.878908848969,10001,8710,87.091290870913,945,570,60.31746031746,433,106,24.480369515012,11,456,196,57,3,14,4,4,455,3,7,2494,1372,55.012028869286,1995,1086,54.436090225564,499,286,57.314629258517,2971,43,273,50,1,6,7.0610421836228,1914,4014,4812,8826,50,43,34,653,95,90,368,375,165,7,21,9,254,217,538,1219,24,10,273,81,169,104,110,82,81,494,2656,5199,5377,10576,63,429,180,1292,349,48745,27,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",Spain La Liga
Real Oviedo,2851,16,43,0,11,259,1,2,0,3,14,2,166,93,5,5,6,43,28,34,82,114,63,198,411,106,8,19,2,17,44.038461538462,9815,7976,81.2633723892,5300,4744,89.509433962264,4515,3232,71.583610188261,993,503,50.654582074522,435,105,24.137931034483,6,481,207,113,7,20,6,4,689,1,3,2521,1301,51.606505355018,1817,941,51.78866263071,704,360,51.136363636364,3123,56,329,53,4,8,6.7204433497537,2877,5633,5384,11017,74,50,44,583,154,136,502,443,197,2,15,11,199,296,569,1171,32,3,396,99,255,141,142,155,99,385,3748,6978,5832,12810,36,484,206,1164,271,48109,26,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",Spain La Liga
Deportivo Alavés,2885,23,34,0,12,313,4,4,1,5,19,3,198,115,4,3,15,57,42,40,103,134,76,209,455,132,7,22,1,21,50.961538461538,11220,9078,80.909090909091,5042,4479,88.833796112654,6178,4599,74.441566850113,872,409,46.903669724771,525,124,23.619047619048,3,482,206,67,3,11,3,3,617,2,4,3034,1461,48.154251812788,2164,1029,47.550831792976,870,432,49.655172413793,3655,54,397,57,3,3,6.7135338345865,2156,4484,4507,8991,57,40,34,660,123,113,448,473,235,5,15,9,236,238,701,1443,38,4,329,103,214,115,124,102,103,530,3131,6033,5023,11056,49,516,199,1304,343,48317,26,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",Spain La Liga
Celta Vigo,2821,37,30,1,22,295,7,7,0,5,32,4,189,106,2,12,22,61,44,33,112,110,73,176,391,112,3,24,3,22,50.481481481481,13457,11582,86.066731069332,6550,5979,91.282442748092,6907,5603,81.120602287534,973,513,52.723535457348,323,70,21.671826625387,8,386,197,77,5,16,8,3,673,1,5,2190,1076,49.132420091324,1723,858,49.796865931515,467,218,46.680942184154,3033,50,303,49,1,1,6.8240654205607,2873,5909,5324,11233,52,37,38,478,127,113,539,375,183,4,15,11,246,225,583,1301,57,8,316,90,201,115,119,107,90,402,3777,7266,5758,13024,65,474,202,1200,305,48412,27,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",Spain La Liga
Real Betis,2816,42,32,1,28,378,2,2,0,9,34,7,229,149,7,10,24,70,52,42,125,149,104,181,364,116,14,54,4,51,48.923076923077,11820,9963,84.289340101523,5511,5066,91.925240428234,6309,4897,77.61927405294,929,471,50.699677072121,388,90,23.19587628866,8,445,237,81,4,9,4,1,780,2,3,2521,1277,50.654502181674,1874,955,50.960512273212,647,322,49.768160741886,3108,38,274,52,0,1,6.8768831168831,2254,4778,5515,10293,56,47,40,538,141,114,503,474,253,6,23,3,207,243,561,1188,77,3,332,85,204,128,134,113,85,414,3182,6207,6007,12214,68,427,199,1268,337,48668,26,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",Spain La Liga
Espanyol,2814,33,39,2,21,322,3,4,0,11,28,4,210,112,10,11,11,55,43,38,108,131,83,163,330,111,5,25,5,21,41.884615384615,9233,7301,79.075056861259,4388,3949,89.995442114859,4845,3352,69.184726522188,879,365,41.524459613197,559,129,23.076923076923,7,427,221,82,4,7,5,5,613,3,3,2560,1237,48.3203125,1784,880,49.32735426009,776,357,46.005154639175,3284,38,345,54,2,3,6.7479115479116,2373,5214,5934,11148,57,41,32,714,116,108,451,439,224,5,10,10,197,247,691,1392,34,2,334,98,224,110,114,122,98,370,3299,6635,6469,13104,60,506,190,1171,303,48490,26,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",Spain La Liga
Getafe,2859,21,29,2,18,250,2,3,0,5,18,3,142,108,6,5,10,31,24,14,71,100,79,164,341,115,3,8,1,7,40.615384615385,7712,5403,70.059647302905,2829,2389,84.446800989749,4883,3014,61.724349784968,1033,410,39.690222652469,503,111,22.0675944334,7,483,221,82,5,10,1,1,701,1,6,2944,1447,49.150815217391,1990,1019,51.206030150754,954,428,44.863731656184,3786,62,386,67,2,5,6.6924731182796,2031,4565,5041,9606,53,37,34,803,113,106,407,459,211,2,10,8,155,206,646,1543,70,4,274,58,175,99,109,107,58,404,3057,6169,5751,11920,57,625,186,1187,378,48413,26,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",Spain La Liga
Valencia,2828,27,39,2,20,288,4,7,0,10,24,3,188,100,5,8,14,49,35,31,73,124,91,191,383,130,10,21,4,18,48.769230769231,10814,8850,81.838357684483,5406,4869,90.066592674806,5408,3981,73.613165680473,939,451,48.029818956337,482,105,21.784232365145,7,394,198,70,6,6,6,5,721,3,15,2412,1196,49.585406301824,1719,866,50.378126817917,693,330,47.619047619048,3220,38,320,54,0,2,6.7273838630807,2320,5050,4539,9589,59,40,36,657,127,102,450,361,166,0,13,4,219,234,627,1304,64,5,310,73,200,110,129,108,73,386,3264,6480,5007,11487,60,491,194,1185,285,48315,26,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",Spain La Liga
Atlético Madrid,2836,43,23,0,25,343,2,3,2,7,34,5,240,103,7,16,16,76,60,48,140,131,72,191,411,175,10,26,5,23,55.153846153846,13687,11763,85.942865492803,6302,5759,91.383687718185,7385,6004,81.299932295193,928,544,58.620689655172,559,148,26.475849731664,11,411,198,58,3,13,2,1,522,0,1,2481,1233,49.697702539299,1757,839,47.751849743882,724,394,54.419889502762,3297,55,292,47,1,2,6.8878345498783,2177,4747,4551,9298,50,37,33,694,101,94,434,419,225,4,7,5,217,201,598,1330,35,0,274,65,160,114,128,81,65,424,3056,6150,5049,11199,53,504,211,1259,240,48491,26,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",Spain La Liga
Girona FC,24264,27,42,1,19,261,6,7,0,8,24,3,172,89,2,10,15,53,38,35,105,80,76,243,480,111,5,23,2,21,49.153846153846,11785,10014,84.972422571065,6128,5601,91.400130548303,5657,4413,78.009545695598,849,436,51.354534746761,371,73,19.676549865229,4,401,202,84,7,18,6,5,676,2,5,2507,1274,50.81771041085,1912,979,51.202928870293,595,295,49.579831932773,3075,53,285,58,2,7,6.740897755611,2811,5515,4990,10505,66,46,38,507,137,142,528,359,182,1,8,14,183,289,577,1192,44,1,396,91,264,132,181,124,91,483,3733,6885,5377,12262,49,421,226,1194,340,48069,26,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",Spain La Liga
