teamName,teamId,goalsScored,goalsConceded,ownGoals,assists,shots,penaltyGoals,penaltiesTaken,freeKickGoals,freeKickShots,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,bigChances,bigChancesCreated,bigChancesMissed,shotsOnTarget,shotsOffTarget,blockedScoringAttempt,successfulDribbles,dribbleAttempts,corners,hitWoodwork,fastBreaks,fastBreakGoals,fastBreakShots,averageBallPossession,totalPasses,accuratePasses,accuratePassesPercentage,totalOwnHalfPasses,accurateOwnHalfPasses,accurateOwnHalfPassesPercentage,totalOppositionHalfPasses,accurateOppositionHalfPasses,accurateOppositionHalfPassesPercentage,totalLongBalls,accurateLongBalls,accurateLongBallsPercentage,totalCrosses,accurateCrosses,accurateCrossesPercentage,cleanSheets,tackles,interceptions,saves,errorsLeadingToGoal,errorsLeadingToShot,penaltiesCommited,penaltyGoalsConceded,clearances,clearancesOffLine,lastManTackles,totalDuels,duelsWon,duelsWonPercentage,totalGroundDuels,groundDuelsWon,groundDuelsWonPercentage,totalAerialDuels,aerialDuelsWon,aerialDuelsWonPercentage,possessionLost,offsides,fouls,yellowCards,yellowRedCards,redCards,avgRating,accurateFinalThirdPassesAgainst,accurateOppositionHalfPassesAgainst,accurateOwnHalfPassesAgainst,accuratePassesAgainst,bigChancesAgainst,bigChancesCreatedAgainst,bigChancesMissedAgainst,clearancesAgainst,cornersAgainst,crossesSuccessfulAgainst,crossesTotalAgainst,dribbleAttemptsTotalAgainst,dribbleAttemptsWonAgainst,errorsLeadingToGoalAgainst,errorsLeadingToShotAgainst,hitWoodworkAgainst,interceptionsAgainst,keyPassesAgainst,longBallsSuccessfulAgainst,longBallsTotalAgainst,offsidesAgainst,redCardsAgainst,shotsAgainst,shotsBlockedAgainst,shotsFromInsideTheBoxAgainst,shotsFromOutsideTheBoxAgainst,shotsOffTargetAgainst,shotsOnTargetAgainst,blockedScoringAttemptAgainst,tacklesAgainst,totalFinalThirdPassesAgainst,oppositionHalfPassesTotalAgainst,ownHalfPassesTotalAgainst,totalPassesAgainst,yellowCardsAgainst,throwIns,goalKicks,ballRecovery,freeKicks,id,matches,awardedMatches,statisticsType,league
Arsenal,42,59,22,1,41,430,3,3,0,6,46,9,323,107,14,11,30,87,62,56,147,158,125,219,456,173,8,31,3,28,56.4,14137,11901,84.183348659546,6046,5570,92.12702613298,8091,6331,78.247435422074,884,398,45.022624434389,557,136,24.416517055655,14,494,218,47,5,17,0,0,717,2,10,2895,1515,52.331606217617,1950,1021,52.358974358974,945,494,52.275132275132,3761,43,305,40,0,0,6.9371111111111,1703,3831,4848,8679,35,19,24,953,98,69,394,381,161,10,31,9,235,171,626,1601,22,2,233,78,147,86,86,69,78,484,2660,5406,5482,10888,57,506,158,1370,316,48428,30,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",England Premier League
Leeds United,34,37,48,1,19,363,4,5,3,8,32,5,248,115,6,8,22,69,49,44,113,147,103,160,398,131,9,25,1,23,45.586206896552,11596,9270,79.941359089341,5900,5337,90.457627118644,5696,3933,69.04845505618,850,378,44.470588235294,518,138,26.640926640927,4,517,267,72,3,11,6,6,821,2,4,3062,1509,49.281515349445,1976,990,50.101214574899,1086,519,47.790055248619,3915,49,305,46,0,0,6.7400462962963,2817,5852,5913,11765,61,48,35,834,126,133,561,481,219,6,15,9,178,264,604,1421,66,0,355,102,235,120,133,120,102,485,3882,7519,6519,14038,52,520,222,1312,325,48669,29,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",England Premier League
Brighton & Hove Albion,30,38,36,4,22,370,3,5,1,11,32,5,235,135,5,7,25,63,41,40,127,143,100,215,476,140,10,16,0,16,53,13709,11518,84.017798526515,7091,6531,92.102665350444,6618,4987,75.355092172862,937,456,48.665955176094,501,131,26.147704590818,6,533,242,80,6,20,6,5,682,3,5,3016,1465,48.574270557029,2149,1032,48.022335970219,867,433,49.942329873126,3775,55,351,72,0,0,6.7923595505618,2217,4508,5303,9811,60,45,39,716,135,105,449,506,255,11,16,8,263,263,692,1586,37,1,351,88,245,106,150,113,88,530,3252,6157,5952,12109,58,474,229,1426,290,48175,29,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",England Premier League
Brentford,50,44,40,3,27,304,6,8,0,7,42,1,231,73,8,13,22,89,68,50,117,115,72,185,445,145,10,53,9,45,47.241379310345,11413,9052,79.313064049768,5710,5147,90.140105078809,5703,3905,68.472733648957,1092,475,43.498168498168,514,131,25.486381322957,7,423,261,77,7,11,7,4,856,4,3,2963,1430,48.261896726291,1857,865,46.580506192784,1106,565,51.084990958409,3969,48,308,56,0,1,6.7923076923077,2792,5542,4982,10524,62,42,39,948,146,109,546,409,210,4,19,6,211,254,625,1494,28,1,364,123,232,132,126,115,123,495,3915,7301,5574,12875,50,562,213,1453,265,48370,29,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",England Premier League
Sunderland,41,30,34,1,18,275,4,5,0,4,24,3,201,74,6,4,17,48,34,33,91,107,77,153,351,99,10,18,2,16,43.586206896552,10706,8438,78.815617410798,5129,4574,89.17917722753,5577,3864,69.284561592254,970,424,43.711340206186,442,88,19.909502262443,9,461,233,89,6,22,3,2,946,4,8,2863,1445,50.471533356619,1772,900,50.79006772009,1091,545,49.954170485793,3710,44,296,58,0,2,6.7820574162679,3265,6309,5341,11650,61,45,40,809,149,139,652,431,184,2,16,16,190,301,622,1473,39,1,427,137,276,151,164,126,137,411,4319,7948,5926,13874,51,510,239,1279,303,48173,29,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",England Premier League
Bournemouth,60,44,46,1,26,396,3,4,2,16,33,11,241,155,5,19,20,66,42,40,140,146,110,218,491,163,12,33,7,29,49.827586206897,11847,9436,79.648856250528,5042,4496,89.170963903213,6805,4940,72.593681116826,1178,472,40.067911714771,574,95,16.550522648084,8,499,284,88,3,14,4,4,915,2,10,3107,1475,47.473447055037,2068,999,48.307543520309,1039,476,45.813282001925,4072,59,352,69,0,1,6.7832568807339,2482,4676,4838,9514,56,43,35,911,151,130,505,490,216,13,18,9,195,269,669,1570,34,2,364,113,250,114,118,133,113,519,3738,6553,5487,12040,54,555,225,1490,291,48103,29,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",England Premier League
Aston Villa,40,39,34,1,28,365,0,0,2,11,24,13,233,132,4,9,24,57,39,42,126,124,115,184,441,154,11,24,1,23,53.620689655172,13041,11083,84.985813971321,6282,5756,91.626870423432,6759,5327,78.813433939932,805,412,51.180124223602,464,102,21.98275862069,8,444,181,85,11,18,2,1,621,7,1,2759,1362,49.36571221457,2029,983,48.447511089207,730,379,51.917808219178,3499,33,302,45,0,1,6.8177383592018,2250,4596,4756,9352,72,51,48,699,136,108,518,394,190,3,18,8,276,266,575,1268,85,2,370,114,248,122,132,124,114,560,3159,5985,5202,11187,71,451,238,1293,371,48146,29,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",England Premier League
Nottingham Forest,14,28,43,2,18,373,2,2,0,10,24,4,224,149,6,5,17,46,37,29,114,137,122,218,453,158,5,32,3,29,47.689655172414,12077,9985,82.677817338743,5331,4791,89.870568373663,6746,5194,76.993774088349,991,483,48.738647830474,691,139,20.115774240232,6,489,228,77,7,23,5,5,723,5,5,2907,1450,49.879600963192,2006,1022,50.947158524427,901,428,47.502774694784,3819,47,306,44,0,1,6.7645933014354,2756,5434,5788,11222,72,51,47,770,135,129,516,463,215,3,16,10,241,289,604,1440,28,1,373,118,258,115,131,124,118,486,3809,7120,6315,13435,51,534,231,1383,327,48369,29,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",England Premier League
Wolverhampton,3,22,52,4,14,273,2,4,0,13,17,4,173,100,3,4,14,36,25,21,97,108,68,201,414,94,8,16,2,15,42.966666666667,11122,8870,79.75184319367,5414,4801,88.677502770595,5708,4069,71.285914505957,912,408,44.736842105263,544,146,26.838235294118,4,582,258,88,11,17,3,3,887,4,10,3164,1566,49.494310998736,2180,1098,50.366972477064,984,468,47.560975609756,3822,40,399,63,1,3,6.6851685393258,3386,7021,5896,12917,75,63,45,753,186,164,641,511,225,3,13,16,252,321,624,1335,46,2,420,118,273,147,162,140,118,476,4500,8666,6403,15069,46,551,246,1388,321,48283,30,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",England Premier League
Manchester City,17,59,27,0,45,418,3,4,0,7,49,7,306,112,8,31,17,94,77,60,151,153,114,296,595,155,12,41,9,32,59.586206896552,16852,14892,88.369333016853,7058,6497,92.05157268348,9794,8395,85.715744333265,843,448,53.143534994069,445,129,28.988764044944,12,438,232,75,3,20,2,1,661,2,8,2712,1425,52.544247787611,2057,1047,50.899368011667,655,378,57.709923664122,3436,38,293,54,0,0,7.0137440758294,1795,3688,5426,9114,57,39,42,621,110,95,412,360,154,10,21,8,265,193,661,1469,81,2,292,80,209,83,110,102,80,574,2716,5155,6038,11193,59,502,172,1335,316,48284,29,0,"{'sportSlug': 'football', 'statisticsType': 'team'}",England Premier League
